,Title,Unnamed: 1,GMD,Unnamed: 3,Unnamed: 4,Unnamed: 5,Publisher,Unnamed: 7,Unnamed: 8,Type of book,Call #,?,Publishing city,Call #.1,?.1,?.2,?.3,Author,Category,Item
0,1 Jam Membuat Boneka Mungil dari Kain Felt,Felt,Text,,,,Demedia,2010,,Kreasi Kreatif,745.5,,Jakarta,745.5,,,,<Stephani >,<Aktivitas - Umum>,<T704699>
1,10 Penyakit Utama Plus Gangguan Jantung,tung,Text,,,,Majalah Flona,2009,,"Terapi Herba, Buah, Sayuran",614.5,,Jakarta,614.5,,,,<Tim Penulis>,<Umum>,<T702576>
2,10 Things To Do Before I Die, Die,Text,,,,Gramedia Pustaka Utama,2008,,Teenlit,823,,Jakarta,823,,,,<Daniel Ehrenhaft>,<Novel / Fiksi>,<T701105><T701106>
3,100 Atlet yang Berpengaruh di dalam Sejarah Olahraga,raga,Text,,,,Karisma Publishing Group,2005,,Seri Sekilas Mengetahui,905,,Batam,905,,,,<Timothy Jacobs>,<Pengetahuan Dewasa>,<T701573>
4,100 Bencana Terbesar sepanjang Masa,Masa,Text,,,,Karisma Publishing Group,2006,,Seri Sekilas Mengetahui,904,,Batam,904,,,,<Stephen J. Spignesi>,<Pengetahuan Dewasa>,<T700280>
5,100 Binatang Pemecah Rekor,ekor,Text,,,,Argomedia Pustaka,2009,,Pengetahuan Anak,156.3,,Jakarta,156.3,,,,<Tim Orange Picture>,<Pengetahuan Dewasa>,<T702164>
6,100 Game Kreatif,atif,Text,,,,Gradien Mediatama,2008,,Permainan,394.3,,Yogyakarta,394.3,,,,<Sya'ban Jamil><Taufik Hidayanto>,<Aktivitas - Umum>,<T700546>
7,100 Hal paling Bikin Penasaran,aran,Text,,,,"PT. Gramedia Pustaka Utama, Jakarta",2011,,Pengetahuan,,,Jakarta,,,,,<>,<Pengetahuan Dewasa>,<T704857>
8,100 jam, jam,Text,,,,Gramedia Pustaka Utama,2007,,Teenlit,813,,Jakarta,813,,,,<Amalia Suryani><Andryan Suhardi>,<Novel / Fiksi>,<T701306>
9,100 Keajaiban Alam Dunia,unia,Text,,,,Karisma Publishing Group,,,Seri Sekilas Mengetahui,901,,,901,,,,<Bill Yenne>,<Pengetahuan Dewasa>,<T700283>
10,100 Kota Besar Bersejarah di Dunia,unia,Text,,,,Ladang Pustaka,2001,,Buku Pintar,909,,Jakarta,909,,,,<Tim Penulis                      >,<Pengetahuan Dewasa>,<T702226>
11,100 Kota Paling Penting di Dalam Sejarah Dunia,unia,Text,,,,Karisma Publishing Group,2008,,Seri Sekilas Mengetahui,905,,Batam,905,,,,<Chrisanne Beckner>,<Pengetahuan Dewasa>,<T701571>
12,100 Pemimpin Dunia yang Berpengaruh di dalam Sejarah Dunia,unia,Text,,,,Karisma Publishing Group,2001,,Seri Sekilas Mengetahui,922,,Batam,922,,,,<Kathleen Paparchontis>,<Pengetahuan Dewasa>,<T701572>
13,100 Penulis yang Membentuk Sejarah Dunia,unia,Text,,,,Progres,2005,,Pustaka Pintar,905,,Jakarta,905,,,,<Tim Penulis                   >,<Pengetahuan Dewasa>,<T702082>
14,100 Peperangan Yang Berpengaruh Di Dalam Sejarah Dunia,unia,Text,,,,Karisma Publishing Group,2007,,Seri Sekilas Mengetahui,904,,Tangerang,904,,,,<Samuel Willard Crampton>,<Pengetahuan Dewasa>,<T700282>
15,100 Peristiwa Penting Dalam Sejarah Kristen,sten,Text,,,,BPK Gunung Mulia,2001,,Buku Rohani,270,,Jakarta,270,,,,<A Kenneth Curtis>,<Buku Rohani>,<T703848>
16,100 Peristiwa yang Berpengaruh di dalam Sejarah Dunia,unia,Text,,,,Karisma Publishing Group,1993,,Seri Sekilas Mengetahui,905,,Batam,905,,,,<Bill Yenne>,<Pengetahuan Dewasa>,<T701575>
17,100 Peta Tempat Jajan dan Makan di Bogor,ogor,Text,,,,Gramedia Pustaka Utama,2008,,Buku Pegangan Wajib Pencinta Wisata Kuliner,641.5,,Jakarta,641.5,,,,<Lilly T.Erwin><Abang Erwin>,<Masak-makanan>,<T701521>
18,100 Pria yang Berpengaruh  di dalam Sejarah Dunia,unia,Text,,,,Karisma Publishing Group,2005,,Seri Sekilas Mengetahui,901.72,,Batam,901.72,,,,<Bill Yenne>,<Pengetahuan Dewasa>,<T701574>
19,100 Resep Baru Plus,Plus,Text,,,,Gaya Favorit Press,,,Femina,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-makanan>,<T703946><T703947>
20,100 Resep Es Campur & Minuman Segar,egar,Text,,,,Gramedia Pustaka Utama,2009,,Resep Masakan,641.8,,Jakarta,641.8,,,,<Dapur Kirana>,<Masak-minuman>,<T702666>
21,100 Resep Kue Kering,ring,Text,,,,Gramedia Pustaka Utama,2008,,Resep Masakan,641.8,,Jakarta,641.8,,,,<Liem>,<Masak-kue>,<T702665>
22,100 Resep Sop & Soto Indonesia,esia,Text,,,,Gramedia Pustaka Utama,2010,,Resep Masakan,641.6,,Jakarta,641.6,,,,<Dapur Kirana >,<Masak-makanan>,<T703792>
23,100 Taya Jawab Tentang Yesus,esus,Text,,,,Visimedia,2006,,Buku Kristen,232,,Tangerang,232,,,,<Daniel Robby>,<Buku Rohani>,<T701283>
24,100 Tokoh paling Berpengaruh Sepanjang Masa,Masa,Text,,,,Karisma Publishing Group,2005,,Seri Sekilas Mengetahui,901,,Batam,901,,,,<Michael H. Hart>,<Pengetahuan Dewasa>,<T700281>
25,100 Wanita yang Berpengaruh di dalam Sejarah Dunia,unia,Text,,,,Karisma Publishing Group,2005,,Seri Sekilas Mengetahui,901.72,,Batam,901.72,,,,<Gail Meyer Rolka>,<Pengetahuan Dewasa>,<T701570>
26,1000 Kata dan Gambar,mbar,Text,,,,Binarupa Aksara,1995,,Kamus Anak,403,,Jakarta,403,,,,<Richard Powell>,<Kamus>,<T702038>
27,1000 Kata Motivasi Ampuh,mpuh,Text,,,,Great! Publisher,2009,,Buku Rohani,248,,Yogyakarta,248,,,,<Great! Team>,<Buku Rohani>,<T702683>
28,101 Cerita Nusantara,tara,Text,,,,Trans Media,2009,,Kumpulan Dongeng,813,,Jakarta,813,,,,<Tim Optima Picture>,<Cerita Anak>,<T702537>
29,101 Dalmatians Anjing Salju,alju,Text,,,,Gramedia Pustaka Utama,,,Seri Pustaka Kecil,823,,,823,,,,<Mala Suhendra>,<Cerita Anak>,<T700062>
30,101 Eksperimen dengan Air, Air,Text,,,,Tiga Serangkai,2009,,101 Eksperimen,551.4,,Solo,551.4,,,,<Anita van Saan >,<Pengetahuan Anak>,<T704370>
31,101 Eksperimen dengan Tumbuhan,uhan,Text,,,,Tiga Serangkai,2009,,101 Eksperimen,580,,Solo,580,,,,<Anita van Saan >,<Pengetahuan Anak>,<T704369>
32,101 Masakan Lezat untuk Pemula,mula,Text,,,,Kriya Pustaka,2010,,Resep Masakan,641.5,,Jakarta,641.5,,,,<T S Dharmaputra >,<Masak-makanan>,<T703802>
33,101 Peluang Bisnis Sampngan Bagi Karyawan,awan,Text,,,,MedPress,2007,,Peluang Usaha,650,,Yogyakarta,650,,,,<Erick Namara >,<Umum>,<T703774>
34,112 Permaian Kreatif untuk Memotivasi Anak,Anak,Text,,,,Pustaka Bina Swadaya,2009,,Aktivitas,394.3,,Jakarta,394.3,,,,<Agus Supriyo>,<Aktivitas - Umum>,<T702534>
35,12 Dancing Princesses,sses,Text,,,,Gramedia Pustaka Utama,2008,,Barbie,823,,Jakarta,823,,,,<Mary Man-Kong >,<Cerita Anak>,<T704438>
36,123',123',Text,,,,Quality Press,,,Seri Tarantula,823,,,823,,,,<Judy Hamilton>,<Cerita Anak>,<T700324>
37,125 Pahlawan Dan Pejuang Nusantara,tara,Text,,,,Pustaka Widyatama,2008,,Umum,900,,Yogyakarta,900,,,,<Gamal Komandoko>,<Pengetahuan Dewasa>,<T700948><T700949><T700950><T700951><T700952>
42,2 Of Me,f Me,Text,,,,Dari Mizan,2008,,Kecil -  Kecil Punya Karya,153.35,,Bandung,153.35,,,,<Izzati>,<Cerita Anak>,<T701156><T701157>
